PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
PCOS,Child,High,Beginner,Strength Training,Daily
Elbow,Senior,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Weight Training,Daily
Ankle,Adult,Low,Beginner,Toe Walks,Daily
Neck,Teen,Low,Advanced,Neck Rotations,Daily
Back,Adult,Low,Advanced,Superman Exercise,Bi-Weekly
Shoulder,Teen,Low,Beginner,Wall Push-ups,Bi-Weekly
Shoulder,Senior,High,Beginner,Arm Circles,Daily
Osteoporotic,Child,Medium,Intermediate,Weight Training,Weekly
Shoulder,Adult,High,Intermediate,Arm Circles,Daily
Neck,Senior,Low,Advanced,Neck Tilts,Weekly
PCOS,Child,Low,Beginner,Yoga,Daily
Osteoporotic,Adult,High,Intermediate,Balance Exercises,Bi-Weekly
Knee,Child,Medium,Advanced,Squats,Daily
Osteoporotic,Child,Medium,Advanced,Balance Exercises,Weekly
PCOS,Adult,Medium,Advanced,Yoga,Bi-Weekly
Knee,Senior,Low,Intermediate,Lunges,Weekly
PCOS,Senior,Medium,Advanced,Strength Training,Weekly
Osteoporotic,Adult,Medium,Intermediate,Tai Chi,Daily
Ankle,Senior,High,Intermediate,Calf Raises,Daily
Osteoporotic,Adult,High,Advanced,Weight Training,Bi-Weekly
Back,Adult,High,Intermediate,Superman Exercise,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Weight Training,Bi-Weekly
Back,Senior,Low,Advanced,Cat-Cow Stretch,Weekly
Ankle,Teen,Low,Intermediate,Ankle Circles,Bi-Weekly
Shoulder,Child,Low,Beginner,Shoulder Rolls,Daily
PCOS,Child,Low,Intermediate,Cardio Exercises,Bi-Weekly
Elbow,Teen,Medium,Beginner,Resistance Band Curls,Bi-Weekly
Elbow,Child,Medium,Beginner,Resistance Band Curls,Weekly
Back,Child,Medium,Beginner,Superman Exercise,Daily
Neck,Child,High,Intermediate,Neck Rotations,Daily
Neck,Senior,Low,Intermediate,Neck Tilts,Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Bi-Weekly
Knee,Adult,Medium,Beginner,Lunges,Bi-Weekly
Back,Senior,Low,Advanced,Superman Exercise,Weekly
Knee,Adult,Low,Intermediate,Squats,Bi-Weekly
Osteoporotic,Senior,Medium,Intermediate,Tai Chi,Bi-Weekly
Ankle,Adult,High,Intermediate,Toe Walks,Daily
PCOS,Teen,Medium,Intermediate,Strength Training,Daily
Back,Teen,Medium,Beginner,Superman Exercise,Bi-Weekly
Shoulder,Adult,High,Intermediate,Shoulder Rolls,Daily
Osteoporotic,Child,Medium,Intermediate,Balance Exercises,Daily
Elbow,Senior,High,Intermediate,Wrist Flexor Stretch,Daily
Neck,Teen,Medium,Advanced,Neck Rotations,Daily
Shoulder,Adult,Medium,Advanced,Wall Push-ups,Daily
Back,Child,Medium,Beginner,Superman Exercise,Bi-Weekly
Shoulder,Child,Low,Beginner,Arm Circles,Weekly
Elbow,Teen,High,Intermediate,Tricep Dips,Weekly
Back,Adult,Medium,Intermediate,Deadlifts,Bi-Weekly
Osteoporotic,Adult,Medium,Advanced,Tai Chi,Weekly
Back,Teen,Low,Beginner,Deadlifts,Weekly
Shoulder,Teen,Medium,Advanced,Wall Push-ups,Bi-Weekly
Neck,Teen,High,Beginner,Neck Tilts,Bi-Weekly
Ankle,Adult,High,Beginner,Toe Walks,Daily
Back,Senior,High,Beginner,Cat-Cow Stretch,Daily
Ankle,Adult,High,Beginner,Ankle Circles,Weekly
Shoulder,Adult,Medium,Advanced,Arm Circles,Daily
Ankle,Senior,Medium,Advanced,Calf Raises,Daily
Elbow,Child,Medium,Intermediate,Tricep Dips,Bi-Weekly
Knee,Child,Medium,Intermediate,Squats,Daily
Osteoporotic,Teen,Medium,Intermediate,Weight Training,Weekly
Elbow,Child,Low,Beginner,Tricep Dips,Daily
Knee,Child,Low,Advanced,Squats,Weekly
Ankle,Adult,High,Beginner,Ankle Circles,Weekly
Neck,Adult,Low,Intermediate,Shoulder Shrugs,Bi-Weekly
PCOS,Adult,Medium,Beginner,Yoga,Weekly
Knee,Adult,High,Intermediate,Leg Raises,Daily
PCOS,Teen,Low,Beginner,Cardio Exercises,Weekly
Elbow,Adult,Low,Intermediate,Resistance Band Curls,Weekly
Ankle,Child,High,Intermediate,Calf Raises,Daily
Knee,Child,Low,Intermediate,Squats,Bi-Weekly
Shoulder,Teen,Low,Advanced,Arm Circles,Bi-Weekly
Ankle,Teen,Medium,Advanced,Ankle Circles,Bi-Weekly
Back,Senior,High,Intermediate,Superman Exercise,Bi-Weekly
Neck,Senior,Medium,Beginner,Shoulder Shrugs,Bi-Weekly
Neck,Child,High,Advanced,Shoulder Shrugs,Weekly
Ankle,Child,High,Beginner,Toe Walks,Bi-Weekly
Ankle,Teen,Medium,Intermediate,Calf Raises,Bi-Weekly
Back,Adult,Low,Advanced,Deadlifts,Bi-Weekly
Back,Teen,Medium,Advanced,Deadlifts,Daily
Osteoporotic,Adult,High,Beginner,Weight Training,Bi-Weekly
Knee,Child,Medium,Advanced,Squats,Bi-Weekly
Shoulder,Teen,High,Beginner,Wall Push-ups,Weekly
Osteoporotic,Child,High,Advanced,Tai Chi,Bi-Weekly
Shoulder,Child,Medium,Intermediate,Wall Push-ups,Weekly
Neck,Adult,High,Beginner,Neck Rotations,Daily
PCOS,Teen,Low,Beginner,Strength Training,Bi-Weekly
Ankle,Teen,High,Beginner,Ankle Circles,Bi-Weekly
Ankle,Child,Low,Beginner,Calf Raises,Bi-Weekly
Shoulder,Child,Medium,Intermediate,Arm Circles,Daily
PCOS,Senior,Medium,Beginner,Yoga,Daily
Elbow,Child,High,Beginner,Wrist Flexor Stretch,Bi-Weekly
Neck,Teen,High,Intermediate,Neck Tilts,Bi-Weekly
Neck,Child,High,Advanced,Neck Rotations,Weekly
Back,Adult,High,Advanced,Superman Exercise,Daily
Elbow,Teen,Low,Advanced,Tricep Dips,Bi-Weekly
Ankle,Child,High,Intermediate,Calf Raises,Bi-Weekly
Osteoporotic,Senior,Low,Intermediate,Weight Training,Bi-Weekly
Osteoporotic,Adult,High,Intermediate,Balance Exercises,Weekly
Neck,Senior,High,Advanced,Neck Rotations,Weekly
Neck,Senior,High,Advanced,Neck Rotations,Bi-Weekly
Neck,Child,High,Intermediate,Neck Rotations,Weekly
Elbow,Senior,High,Beginner,Resistance Band Curls,Daily
Neck,Senior,Low,Advanced,Neck Rotations,Daily
Elbow,Senior,Low,Beginner,Wrist Flexor Stretch,Weekly
Back,Adult,Low,Intermediate,Cat-Cow Stretch,Bi-Weekly
Back,Teen,Medium,Intermediate,Deadlifts,Daily
Shoulder,Senior,High,Advanced,Wall Push-ups,Daily
Neck,Senior,High,Intermediate,Neck Tilts,Bi-Weekly
Back,Senior,Medium,Advanced,Deadlifts,Bi-Weekly
Shoulder,Teen,High,Beginner,Wall Push-ups,Weekly
Knee,Child,Low,Advanced,Lunges,Daily
Elbow,Senior,High,Advanced,Resistance Band Curls,Weekly
Ankle,Senior,Medium,Beginner,Calf Raises,Bi-Weekly
Shoulder,Senior,Low,Advanced,Arm Circles,Daily
Knee,Teen,High,Advanced,Leg Raises,Bi-Weekly
Back,Senior,High,Advanced,Deadlifts,Bi-Weekly
Ankle,Senior,Low,Beginner,Toe Walks,Weekly
Elbow,Teen,Medium,Intermediate,Resistance Band Curls,Daily
Back,Adult,Low,Intermediate,Deadlifts,Bi-Weekly
Elbow,Teen,Low,Beginner,Tricep Dips,Weekly
Elbow,Child,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Shoulder,Senior,Low,Beginner,Arm Circles,Weekly
Shoulder,Child,Low,Intermediate,Arm Circles,Daily
PCOS,Child,Low,Beginner,Cardio Exercises,Daily
Ankle,Senior,High,Advanced,Calf Raises,Bi-Weekly
Knee,Child,High,Advanced,Lunges,Bi-Weekly
Shoulder,Teen,Medium,Intermediate,Shoulder Rolls,Daily
Knee,Adult,Medium,Advanced,Leg Raises,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Balance Exercises,Weekly
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Bi-Weekly
Back,Senior,Medium,Intermediate,Deadlifts,Weekly
PCOS,Teen,High,Beginner,Yoga,Daily
Knee,Child,High,Beginner,Leg Raises,Weekly
Osteoporotic,Senior,High,Intermediate,Weight Training,Daily
Osteoporotic,Teen,Low,Beginner,Balance Exercises,Daily
Neck,Senior,Low,Advanced,Neck Tilts,Daily
Neck,Teen,Low,Advanced,Neck Tilts,Weekly
Osteoporotic,Child,Medium,Advanced,Tai Chi,Weekly
Neck,Child,High,Intermediate,Shoulder Shrugs,Weekly
Ankle,Teen,High,Advanced,Ankle Circles,Daily
Neck,Adult,Low,Beginner,Neck Tilts,Bi-Weekly
Knee,Senior,High,Intermediate,Lunges,Bi-Weekly
Back,Child,Medium,Advanced,Superman Exercise,Bi-Weekly
Elbow,Teen,High,Advanced,Tricep Dips,Daily
Shoulder,Senior,Medium,Intermediate,Wall Push-ups,Bi-Weekly
Back,Adult,Low,Advanced,Cat-Cow Stretch,Bi-Weekly
Knee,Senior,High,Intermediate,Lunges,Daily
PCOS,Teen,Low,Intermediate,Cardio Exercises,Bi-Weekly
Neck,Adult,Medium,Beginner,Neck Tilts,Bi-Weekly
Elbow,Senior,High,Intermediate,Wrist Flexor Stretch,Weekly
Ankle,Senior,Medium,Beginner,Toe Walks,Daily
Shoulder,Senior,Medium,Advanced,Arm Circles,Weekly
Ankle,Adult,Medium,Beginner,Calf Raises,Bi-Weekly
Elbow,Adult,High,Beginner,Wrist Flexor Stretch,Bi-Weekly
Osteoporotic,Senior,Medium,Advanced,Weight Training,Bi-Weekly
Back,Teen,Low,Intermediate,Cat-Cow Stretch,Bi-Weekly
Neck,Teen,Low,Beginner,Neck Rotations,Bi-Weekly
Osteoporotic,Teen,High,Advanced,Balance Exercises,Daily
Knee,Child,Low,Beginner,Leg Raises,Daily
Osteoporotic,Teen,High,Beginner,Weight Training,Bi-Weekly
Back,Teen,High,Advanced,Cat-Cow Stretch,Bi-Weekly
Knee,Senior,High,Intermediate,Lunges,Daily
Back,Senior,Low,Advanced,Deadlifts,Bi-Weekly
Knee,Adult,High,Advanced,Squats,Weekly
Elbow,Adult,Medium,Intermediate,Resistance Band Curls,Daily
Elbow,Teen,High,Intermediate,Resistance Band Curls,Weekly
Osteoporotic,Senior,Low,Intermediate,Tai Chi,Bi-Weekly
Knee,Adult,Medium,Beginner,Squats,Daily
Osteoporotic,Adult,Low,Beginner,Tai Chi,Daily
PCOS,Teen,Low,Beginner,Cardio Exercises,Bi-Weekly
Shoulder,Adult,High,Advanced,Wall Push-ups,Daily
Shoulder,Teen,Medium,Advanced,Wall Push-ups,Daily
Ankle,Senior,Low,Advanced,Calf Raises,Bi-Weekly
Ankle,Teen,High,Advanced,Calf Raises,Daily
Knee,Teen,High,Beginner,Leg Raises,Daily
Knee,Teen,High,Intermediate,Squats,Weekly
Neck,Senior,Low,Beginner,Shoulder Shrugs,Bi-Weekly
Osteoporotic,Senior,Medium,Advanced,Balance Exercises,Daily
Ankle,Teen,High,Advanced,Calf Raises,Daily
PCOS,Teen,Low,Beginner,Strength Training,Bi-Weekly
Ankle,Child,Medium,Beginner,Calf Raises,Bi-Weekly
Shoulder,Teen,Low,Advanced,Wall Push-ups,Daily
Shoulder,Teen,Low,Beginner,Shoulder Rolls,Weekly
Knee,Child,Low,Advanced,Leg Raises,Bi-Weekly
Back,Teen,Low,Intermediate,Superman Exercise,Daily
PCOS,Teen,Low,Advanced,Cardio Exercises,Daily
Osteoporotic,Adult,Medium,Intermediate,Tai Chi,Bi-Weekly
Neck,Child,Low,Advanced,Neck Tilts,Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Weekly
Knee,Teen,High,Beginner,Squats,Bi-Weekly
Elbow,Child,Medium,Intermediate,Resistance Band Curls,Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Bi-Weekly
Knee,Adult,Medium,Intermediate,Squats,Bi-Weekly
Shoulder,Adult,Medium,Intermediate,Shoulder Rolls,Bi-Weekly
Back,Child,Low,Beginner,Cat-Cow Stretch,Daily
PCOS,Senior,High,Intermediate,Strength Training,Daily
Neck,Teen,Low,Intermediate,Shoulder Shrugs,Weekly
Neck,Teen,Medium,Intermediate,Neck Rotations,Daily
Ankle,Senior,Low,Beginner,Ankle Circles,Weekly
Elbow,Senior,Medium,Advanced,Resistance Band Curls,Bi-Weekly
Shoulder,Child,High,Intermediate,Arm Circles,Weekly
PCOS,Senior,High,Advanced,Cardio Exercises,Daily
Elbow,Senior,Low,Intermediate,Resistance Band Curls,Bi-Weekly
Neck,Adult,Low,Advanced,Shoulder Shrugs,Bi-Weekly
Elbow,Child,Low,Advanced,Tricep Dips,Weekly
Neck,Teen,Medium,Beginner,Neck Rotations,Bi-Weekly
Osteoporotic,Adult,Medium,Advanced,Balance Exercises,Daily
Back,Teen,High,Advanced,Deadlifts,Bi-Weekly
PCOS,Senior,Low,Beginner,Yoga,Bi-Weekly
Osteoporotic,Child,Medium,Beginner,Weight Training,Daily
Osteoporotic,Child,Low,Beginner,Balance Exercises,Weekly
Ankle,Teen,High,Advanced,Calf Raises,Bi-Weekly
Shoulder,Teen,High,Intermediate,Arm Circles,Bi-Weekly
Back,Child,High,Intermediate,Cat-Cow Stretch,Daily
Osteoporotic,Adult,High,Advanced,Tai Chi,Weekly
PCOS,Senior,Medium,Intermediate,Cardio Exercises,Weekly
Neck,Teen,High,Advanced,Shoulder Shrugs,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Rotations,Daily
Back,Adult,High,Intermediate,Cat-Cow Stretch,Weekly
Knee,Child,Medium,Intermediate,Lunges,Daily
Shoulder,Child,High,Intermediate,Arm Circles,Weekly
Back,Teen,Medium,Beginner,Cat-Cow Stretch,Bi-Weekly
Back,Adult,Low,Beginner,Superman Exercise,Bi-Weekly
Neck,Adult,Medium,Beginner,Neck Rotations,Weekly
Shoulder,Child,Medium,Beginner,Arm Circles,Bi-Weekly
Knee,Teen,High,Beginner,Lunges,Bi-Weekly
Knee,Child,Medium,Advanced,Lunges,Daily
Shoulder,Adult,Medium,Beginner,Shoulder Rolls,Daily
Ankle,Teen,Low,Beginner,Ankle Circles,Daily
Back,Senior,Medium,Intermediate,Cat-Cow Stretch,Bi-Weekly
Ankle,Senior,Medium,Intermediate,Ankle Circles,Bi-Weekly
Knee,Teen,High,Advanced,Lunges,Bi-Weekly
Neck,Senior,High,Advanced,Shoulder Shrugs,Weekly
Back,Senior,Medium,Beginner,Deadlifts,Daily
Elbow,Teen,High,Intermediate,Resistance Band Curls,Weekly
Elbow,Teen,Medium,Intermediate,Tricep Dips,Bi-Weekly
Shoulder,Teen,Low,Advanced,Arm Circles,Daily
Ankle,Senior,High,Advanced,Calf Raises,Bi-Weekly
Elbow,Adult,Low,Advanced,Resistance Band Curls,Weekly
Knee,Teen,Low,Advanced,Lunges,Bi-Weekly
Neck,Child,Medium,Intermediate,Neck Rotations,Weekly
Back,Adult,Low,Beginner,Cat-Cow Stretch,Bi-Weekly
Neck,Senior,High,Beginner,Neck Rotations,Weekly
Osteoporotic,Teen,Medium,Advanced,Weight Training,Daily
Osteoporotic,Child,Low,Intermediate,Balance Exercises,Weekly
Ankle,Child,High,Beginner,Toe Walks,Daily
PCOS,Child,Low,Advanced,Cardio Exercises,Weekly
Neck,Child,Medium,Intermediate,Neck Tilts,Bi-Weekly
Shoulder,Child,Medium,Advanced,Arm Circles,Weekly
Elbow,Child,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Ankle,Adult,Low,Advanced,Ankle Circles,Weekly
Neck,Teen,Medium,Intermediate,Shoulder Shrugs,Daily
Knee,Senior,High,Advanced,Squats,Bi-Weekly
Back,Adult,Low,Beginner,Deadlifts,Weekly
PCOS,Child,Low,Intermediate,Cardio Exercises,Daily
Shoulder,Teen,Medium,Intermediate,Wall Push-ups,Daily
Neck,Adult,High,Beginner,Neck Rotations,Daily
Osteoporotic,Child,High,Beginner,Tai Chi,Bi-Weekly
PCOS,Adult,Low,Beginner,Strength Training,Daily
Shoulder,Senior,Low,Advanced,Wall Push-ups,Daily
Shoulder,Senior,Medium,Intermediate,Shoulder Rolls,Daily
Knee,Teen,High,Advanced,Squats,Weekly
PCOS,Adult,High,Beginner,Cardio Exercises,Bi-Weekly
Back,Teen,High,Intermediate,Deadlifts,Bi-Weekly
Osteoporotic,Adult,Medium,Beginner,Balance Exercises,Bi-Weekly
Shoulder,Adult,Low,Beginner,Arm Circles,Weekly
PCOS,Teen,High,Advanced,Cardio Exercises,Bi-Weekly
Shoulder,Senior,Low,Beginner,Wall Push-ups,Daily
Neck,Adult,Medium,Beginner,Shoulder Shrugs,Weekly
Osteoporotic,Child,Medium,Advanced,Weight Training,Daily
Ankle,Adult,Low,Beginner,Toe Walks,Daily
